time,base_yaw_joint,shoulder_pitch_joint,shoulder_yaw_joint,elbow_pitch_joint,wrist_yaw_joint,wrist_pitch_joint,palm_yaw_joint
0,0,0,0,0,0,0,0
4,0,4.4705882353,-1.67141704369341E-015,-11.3333333333,-8.38104682147363E-017,6.862745098,-4.71472140983295E-016
8,-4.21534176747903E-015,3.1527643344,-4.51238178519778E-015,-5.462077635,-1.36033982425995E-015,2.3093133007,1.66361121091935E-015
12,-3.16524085712033E-014,-1.0060129986,2.43285317589716E-014,5.678719313,-1.85355795236254E-014,-4.6727063144,5.18742349753944E-014
16,-1.0562122084139E-013,1.7572742771,3.94042192321399E-014,-0.9531588994,1.88234155502183E-015,-0.8041153777,-1.0401429695884E-014
20,-1.70963685276641E-014,1.7540618359,5.20253824965725E-014,-2.2696662811,-1.29800270795562E-014,0.5156044453,-8.81810851186907E-014
24,3.70622138881397E-014,1.2700691784,2.30264491315217E-014,-1.8503591277,-6.00278672527096E-014,0.5802899492,-1.32121284346332E-013
28,2.85871567229225E-014,1.367406864,3.59997379437182E-014,-1.7187473972,-5.71778993117255E-014,0.3513405332,-1.2022031792036E-013
32,3.00124581203997E-014,1.3536767907,3.5432683096143E-014,-1.7100304246,-5.82997121936744E-014,0.356353634,-1.21058555129465E-013
